image,label
01_TUMOR/A26A_CRC-Prim-HE-05_008.tif_Row_151_Col_1.tif,0
01_TUMOR/762E_CRC-Prim-HE-04_034.tif_Row_1_Col_1051.tif,0
01_TUMOR/6491_CRC-Prim-HE-06_016.tif_Row_151_Col_751.tif,0
01_TUMOR/11114_CRC-Prim-HE-02_026.tif_Row_1_Col_1.tif,0
01_TUMOR/15E06_CRC-Prim-HE-01_015.tif_Row_151_Col_151.tif,0
01_TUMOR/17B46_CRC-Prim-HE-05_013.tif_Row_301_Col_151.tif,0
01_TUMOR/10DD1_CRC-Prim-HE-01_015.tif_Row_151_Col_301.tif,0
01_TUMOR/3CD6_CRC-Prim-HE-01_027.tif_Row_1_Col_301.tif,0
01_TUMOR/18338_CRC-Prim-HE-07_006.tif_Row_451_Col_151.tif,0
01_TUMOR/17695_CRC-Prim-HE-02_007.tif_Row_1_Col_151.tif,0
01_TUMOR/396E_CRC-Prim-HE-04_014.tif_Row_1_Col_1051.tif,0
01_TUMOR/A839_CRC-Prim-HE-02_013.tif_Row_301_Col_151.tif,0
01_TUMOR/11C74_CRC-Prim-HE-09_012.tif_Row_1_Col_151.tif,0
01_TUMOR/3341_CRC-Prim-HE-08_016.tif_Row_151_Col_451.tif,0
01_TUMOR/150AD_CRC-Prim-HE-02_028.tif_Row_301_Col_451.tif,0
01_TUMOR/4995_CRC-Prim-HE-02_014.tif_Row_151_Col_1.tif,0
01_TUMOR/15F5A_CRC-Prim-HE-01_040.tif_Row_151_Col_1.tif,0
01_TUMOR/129E_CRC-Prim-HE-09_010.tif_Row_301_Col_151.tif,0
01_TUMOR/17DDD_CRC-Prim-HE-05_015.tif_Row_301_Col_151.tif,0
01_TUMOR/17811_CRC-Prim-HE-07_006.tif_Row_301_Col_1.tif,0
01_TUMOR/4D50_CRC-Prim-HE-04_034.tif_Row_1_Col_601.tif,0
01_TUMOR/61C1_CRC-Prim-HE-01_008.tif_Row_1_Col_151.tif,0
01_TUMOR/141AA_CRC-Prim-HE-02_004.tif_Row_1_Col_1.tif,0
01_TUMOR/814D_CRC-Prim-HE-09_014.tif_Row_301_Col_301.tif,0
01_TUMOR/475C_CRC-Prim-HE-02_007b.tif_Row_301_Col_151.tif,0
01_TUMOR/27BE_CRC-Prim-HE-06_016.tif_Row_151_Col_1.tif,0
01_TUMOR/381A_CRC-Prim-HE-02_005.tif_Row_1_Col_151.tif,0
01_TUMOR/8ACA_CRC-Prim-HE-09_010.tif_Row_301_Col_601.tif,0
01_TUMOR/1212_CRC-Prim-HE-03_005.tif_Row_301_Col_1.tif,0
01_TUMOR/4B46_CRC-Prim-HE-07.tif_Row_301_Col_601.tif,0
01_TUMOR/53B6_CRC-Prim-HE-07_025.tif_Row_1351_Col_1.tif,0
01_TUMOR/14D9E_CRC-Prim-HE-01_039.tif_Row_1_Col_301.tif,0
01_TUMOR/14E4C_CRC-Prim-HE-02_003b.tif_Row_151_Col_451.tif,0
01_TUMOR/129E9_CRC-Prim-HE-04_033.tif_Row_1_Col_151.tif,0
01_TUMOR/7D_CRC-Prim-HE-07_006.tif_Row_151_Col_151.tif,0
01_TUMOR/4EDF_CRC-Prim-HE-07_025.tif_Row_301_Col_451.tif,0
01_TUMOR/2181_CRC-Prim-HE-07_025.tif_Row_151_Col_601.tif,0
01_TUMOR/49A7_CRC-Prim-HE-02_028.tif_Row_301_Col_151.tif,0
01_TUMOR/2484_CRC-Prim-HE-05_007.tif_Row_1_Col_151.tif,0
01_TUMOR/12AA9_CRC-Prim-HE-10_029.tif_Row_1_Col_601.tif,0
01_TUMOR/175A_CRC-Prim-HE-09_014.tif_Row_1_Col_1.tif,0
01_TUMOR/4275_CRC-Prim-HE-09_011.tif_Row_301_Col_151.tif,0
01_TUMOR/A0_CRC-Prim-HE-01_011.tif_Row_151_Col_1.tif,0
01_TUMOR/13314_CRC-Prim-HE-09_026.tif_Row_151_Col_1.tif,0
01_TUMOR/15657_CRC-Prim-HE-05_013.tif_Row_301_Col_301.tif,0
01_TUMOR/17534_CRC-Prim-HE-01_008.tif_Row_151_Col_1.tif,0
